PseudoID,PseudoIDRe,ReportID,Opened,Closed,YearOpened,Summary,OriginalReporter,Reporter,Status,SecuritySeverity,Component,WeaknessType,IsExternal,Releases,Language,IsExploited,FirstReported,FixedTimestamp,TimeToFix,TimeFromFirstReport,IsReopened
1282246,1282246,1282246,1466879448,1467289338,2016,            SEGV on unknown address [@fill] in src/gfx/skia/skia/src/effects/gradients/SkLinearGradient.cpp        ,Tyson Smith,  tsmith,VERIFIED FIXED,High,Graphics: Canvas2D,,0,Stable,['C++'],0,1466879448,1467289338,4,0,0
1409449,1409449,1409449,1508258608,1513220688,2017,            Phishing vector via http auth of background connections        ,Jerry Decime,  dveditz,RESOLVED FIXED,Moderate,Networking: HTTP,Exposure of sensitive information,1,Stable,"['Python', 'C++', 'JS']",0,1508258608,1513220688,57,0,0
1556377,1556377,1556955,1559720278,1559721555,2019,            Address bar shows wrong URL but right site/cert info        ,Frederik Braun,  freddy,RESOLVED DUPLICATE,Moderate,Networking,,0,NotStable,,0,1559563889,-1,-1,1,0
808546,808546,808546,1352124675,1356353737,2012,            WebRTC crash [@nsDOMMediaStream::GetStream]        ,Christoph Diehl,  posidron,RESOLVED FIXED,Critical,WebRTC: Audio/Video,,0,NotStable,,0,1352124675,1356353737,48,0,0
1318012,1318012,1318012,1479312815,1485448030,2016,            SandboxBrokerCommon::SendWithFd sends uninitialised stack-allocated data out of process        ,Julian Seward,  jseward,RESOLVED FIXED,Moderate,Security: Process Sandboxing,,0,NotStable,,0,1479312815,1485448030,71,0,0
1062920,1062920,1062920,1409843816,1412435762,2014,            WorkerNavigator strings should honor general.*.override prefs        ,acargunes,  acargunes,VERIFIED FIXED,,DOM: Workers,,1,NotStable,,0,1409843816,1412435762,29,0,1
1072174,1072174,1072174,1411549340,1411648445,2014,            XrayToString assumes that there are only two XrayTrait types        ,Bobby Holley,  bholley,VERIFIED FIXED,High,XPConnect,,0,Stable,['C++'],0,1411549340,1411648445,1,0,0
1299686,1299686,1299686,1472688768,1474626740,2016,            Integer overflow leading to a buffer overflow in nsScriptLoadHandler        ,Samuel Groß,  mozilla,VERIFIED FIXED,High,DOM: Core & HTML,Memory buffer bounds error,1,Stable,['C++'],0,1472688768,1474626740,22,0,0
793385,793385,793385,1348311402,1348580180,2012,"            Assertion failure: addr % Cell::CellSize == 0, at ../../gc/Heap.h:846 with OOM        ",Christian Holler,  decoder,VERIFIED FIXED,Moderate,JavaScript Engine,,0,NotStable,"['C++', 'JS']",0,1348311402,1348580180,3,0,0
1552632,1552632,1552632,1558151593,1559288105,2019,            globalThis does not appear in property names of window until specifically referenced        ,Chris Hacking,  cbhacking+bugzilla,VERIFIED FIXED,Moderate,JavaScript Engine,Improper input validation,1,Stable,"['C++', 'JS']",0,1558151593,1559288105,13,0,0
859016,859016,859016,1365309623,1366148933,2013,            Remaining dir=auto issues (2): Heap-use-after-free in mozilla::WalkAncestorsResetAutoDirection        ,Abhishek Arya,  inferno,RESOLVED FIXED,Critical,Layout: Text and Fonts,,1,NotStable,,0,1365309623,1366148933,9,0,0
824856,824856,824856,1356567606,1361680193,2012,"            Crash [@ QuoteString] or [@ js_NewStringCopyN] or ""Assertion failure: limit >= start,""        ",Gary Kwong,  gkw,VERIFIED FIXED,Critical,JavaScript Engine,,0,Stable,"['C++', 'JS']",0,1356567606,1361680193,59,0,0
1143535,1143535,1143535,1426479496,1426824023,2015,            Stack-buffer-overflow in nsCSSFrameConstructor::InterpretRubyWhitespace        ,Abhishek Arya,  inferno,RESOLVED FIXED,High,Layout,,1,NotStable,"['C++', 'HTML']",0,1426479496,1426824023,3,0,0
1099437,1097725,1097725,1415808106,1416947337,2014,            SEGV on unknown controllable address at AllocateForSurface()        ,Aki Helin,  aki.helin,RESOLVED DUPLICATE,Moderate,Graphics: Layers,DEPRECATED: Code,1,Stable,,0,1415808106,1418417640,30,0,0
1371259,1371259,1371269,1496928859,1508381115,2017,            heap-use-after-free in mozilla::dom::CanvasRenderingContext2D::ParseColor        ,Nils,  nils,RESOLVED DUPLICATE,Critical,DOM: Core & HTML,Expired pointer dereference,1,Stable,"['Python', 'C++']",0,1496926379,1499737630,32,0,0
831846,831846,831846,1358448202,1359336687,2013,            Compartment mismatch with evalcx and watch        ,Gary Kwong,  gkw,VERIFIED FIXED,Critical,JavaScript Engine,,0,NotStable,"['C++', 'JS']",0,1358448202,1359336687,10,0,0
1183375,1183375,1183375,1436826051,1437422488,2015,"            Assertion failure: !IsInsideNursery(&lir->object()->toConstant()->toObject()), at jit/CodeGenerator.cpp        ",Gary Kwong,  gkw,VERIFIED FIXED,High,JavaScript Engine,,0,NotStable,['C++'],0,1436826051,1437422488,6,0,0
1315718,1315718,1315718,1478539680,1480635608,2016,            mGamepadManager looks like a security hazard        ,Olli Pettay,  smaug,RESOLVED FIXED,,Graphics,,0,NotStable,['C++'],0,1478539680,1480635608,24,0,0
1254164,1254164,1254164,1457367913,1458402300,2016,"            Assertion failure: !IsUninitializedLexical(obj.aliasedVar(sc)), at js/src/vm/Interpreter-inl.h:245        ",Christian Holler,  decoder,VERIFIED FIXED,High,JavaScript Engine,,0,Stable,"['C++', 'JS']",0,1457367913,1458402300,11,0,0
992968,992968,992968,1396885570,1397701261,2014,            AddressSanitizer: heap-buffer-overflow [@ js::jit::CodeGeneratorShared::allocateCache]        ,Christian Holler,  decoder,VERIFIED FIXED,High,JavaScript Engine: JIT,,0,Stable,['C++'],0,1396885570,1397701261,9,0,0
832646,832646,832646,1358618504,1358965538,2013,            Crash on invalid address in CalculateUTF8Size::write        ,Abhishek Arya,  inferno,RESOLVED FIXED,,DOM: Core & HTML,,1,NotStable,,0,1358618504,1358965538,4,0,0
960178,960178,961517,1390162290,1394045772,2014,            Heap-use-after-free in mozilla::gfx::(anonymous namespace)::PowCache::Pow        ,Abhishek Arya,  inferno,RESOLVED DUPLICATE,Moderate,Graphics,,1,NotStable,['C++'],0,1389812131,1394072111,49,4,0
1524214,1524214,1524214,1548931447,1549268176,2019,            Could be use-after-free of `capturingContent` in PresShell::HandleEvent()        ,Masayuki Nakano,  masayuki,RESOLVED FIXED,High,DOM: UI Events & Focus Handling,,0,Stable,['C++'],0,1548931447,1549268176,3,0,0
795165,795165,795165,1348788689,1349229067,2012,"            Assertion failure: (ptrBits & 0x7) == 0, at ../../jsval.h:708 or Crash [@ js::ParallelArrayObject::toStringBufferImpl]        ",Christian Holler,  decoder,VERIFIED FIXED,Critical,JavaScript Engine,,0,NotStable,"['C++', 'JS']",0,1348788689,1349229067,5,0,0
1092947,1092947,1092947,1415002318,1416329906,2014,            Crash [@ EnterIon] or [@ js::jit::IonCannon]        ,Gary Kwong,  gkw,RESOLVED FIXED,Moderate,JavaScript Engine: JIT,,0,Stable,['C++'],0,1415002318,1416329906,15,0,0
1146696,1146696,1146696,1427155613,1427907219,2015,            Crash [@ JSObject::finalize] or [@ js::gc::GCRuntime::sweepBackgroundThings]        ,Gary Kwong,  gkw,VERIFIED FIXED,Moderate,JavaScript Engine,,0,NotStable,"['C++', 'JS']",0,1427155613,1427907219,8,0,0
1672120,1672120,1672120,1603183967,1611159565,2020,            Access of TransportSecurityInfo fields should hold mutex        ,Valentin Gosu,  valentin,RESOLVED FIXED,Moderate,Security: PSM,,0,Stable,['C++'],0,1603183967,1611159565,92,0,0
1274777,1274777,1274777,1463853219,1465480563,2016,            Possible integer overflow to fix inside XML_Parse in expat        ,Gustavo Grieco,  gustavo.grieco,RESOLVED FIXED,Low,XML,Numeric errors,1,Stable,['C'],0,1463853219,1465480563,18,0,0
1352745,1352745,1352745,1491080105,1495177205,2017,            Graphite2 heap-buffer-overflow write [@ lz4::decompress]        ,Tyson Smith,  tsmith,RESOLVED FIXED,High,Graphics: Text,Memory buffer bounds error,0,Stable,,0,1491080105,1495177205,47,0,1
1038243,1038243,1051869,1407770601,1407865780,2014,"            crash in nsGenericHTMLElement::SetAttributeNode(nsIDOMAttr*, nsIDOMAttr**)        ",Liz Henry,  lizzard,RESOLVED DUPLICATE,,DOM: Core & HTML,,0,NotStable,,0,1405357107,1408291668,33,27,0
1434634,1434634,1434634,1517415146,1547505977,2018,            Incomplete fix of bug 1366357        ,Jun Kokatsu,  s.h.h.n.j.k,VERIFIED FIXED,Low,Site Identity,Origin validation error,1,Stable,,0,1517415146,1547505977,348,0,0
1325511,1325511,1325511,1482454372,1486473484,2016,            libGLES - Use After Free in Buffer11::updateBufferStorage()        ,Looben Yang,  loobenyang,RESOLVED FIXED,High,Graphics: CanvasWebGL,Expired pointer dereference,1,Stable,['C++'],0,1482454372,1486473484,46,0,0
938857,938857,938857,1384472011,1386501974,2013,            Crash Report [@ nr_socket_sendto ]        ,Maire Reavy,  mreavy,RESOLVED FIXED,Critical,WebRTC: Networking,,0,NotStable,['C'],0,1384472011,1386501974,23,0,0
1406395,1406395,1408114,1507833127,1508423815,2017,            heap-use-after-free in nsParentNodeChildContentList::Item        ,Nils,  nils,RESOLVED DUPLICATE,Critical,DOM: Core & HTML,,1,NotStable,['C++'],0,1507298730,1508376038,12,6,0
1542465,1542465,1542465,1554532575,1555943025,2019,            use-after-free in mozilla::dom::XMLHttpRequestMainThread::DispatchProgressEvent        ,Nils,  nils,RESOLVED FIXED,High,DOM: Core & HTML,Expired pointer dereference,1,Stable,['C++'],0,1554532575,1555943025,16,0,0
1631981,1631981,1631981,1587509091,1614878231,2020,            PHC crash in [@ thaw_updates] (UAF)        ,Gabriele Svelto,  gsvelto,RESOLVED FIXED,,Widget: Gtk,,0,NotStable,,0,1587509091,1614878231,316,0,0
942950,942950,942950,1385405857,1387532055,2013,            Use after free/double free bug when pruning a newly initialized TURN candidate.        ,Byron Campen,  bwc,RESOLVED FIXED,Critical,WebRTC: Networking,,0,NotStable,['C'],0,1385405857,1387532055,24,0,0
1471684,1471684,1471684,1530125748,1578428492,2018,            Firefox WebCrypto Private Key Recovery Attack on DH small subgroups        ,Antonio Sanso,  antonio.sanso,RESOLVED FIXED,Moderate,DOM: Web Crypto,,1,NotStable,,0,1530125748,1578428492,559,0,0
1677194,1677194,1677194,1605297902,1605865981,2020,"            ASAN error, use-after-poison, nsTreeBodyFrame::RowCountChanged(int, int)        ",Chiaki ISHIKAWA,  ishikawa,RESOLVED FIXED,Low,Layout,,1,Stable,['C++'],0,1605297902,1605865981,6,0,0
1394223,1394223,1394223,1503847258,1538673951,2017,            Crash in js::ZoneGroup::enter at MOZ_RELEASE_ASSERT(ownerContext().context() == nullptr)        ,Marcia Knous,  marcia,RESOLVED FIXED,,JavaScript Engine,,0,NotStable,,0,1503847258,1538673951,403,0,0
730208,730208,730208,1330067655,1336154337,2012,            Hunt down black -> gray edges in the JS heap        ,Steve Fink,  sfink,RESOLVED FIXED,Moderate,JavaScript Engine,,0,Stable,"['C++', 'C']",0,1330067655,1336154337,70,0,1
886287,886287,886287,1372079465,1372877711,2013,"            OdinMonkey: Assertion failure: begin <= end, at gc/RootMarking.cpp:264        ",Christian Holler,  decoder,VERIFIED FIXED,High,JavaScript Engine,,0,NotStable,['C++'],0,1372079465,1372877711,9,0,0
810823,810823,810823,1352727062,1353336666,2012,            gfx/harfbuzz/src/hb-ot-layout-common-private.hh:209:1: fatal error: reference binding to address <addr> with insufficient space for an object of type 'const OT::LangSys'        ,Christian Holler,  decoder,RESOLVED FIXED,Low,Graphics: Text,,0,NotStable,,0,1352727062,1353336666,7,0,0
1414999,1414999,1414999,1510014880,1511278318,2017,            stylo: AddressSanitizer: heap-use-after-free [@ PresShell] with READ of size 8        ,Jason Kratzer,  jkratzer,RESOLVED FIXED,High,CSS Parsing and Computation,,0,NotStable,['C++'],0,1510014880,1511278318,14,0,0
1202784,1202784,1235160,1451059247,1452503036,2015,"            crash due to Assertion failure: index < length_, at js/src/jit/FixedList.h:84        ",Spandan Veggalam,  spandan.veggalam,RESOLVED DUPLICATE,Critical,JavaScript Engine,,1,NotStable,"['C++', 'JS']",0,1441737083,1449830636,93,107,0
1544792,1544792,1544792,1555423257,1556889121,2019,"            Spidermonkey: definite properties are incorrectly computed in some cases, leading to uninitialized memory access when unboxed objects are enabled        ",Samuel Groß,  saelo,RESOLVED FIXED,Moderate,JavaScript Engine,,1,NotStable,"['C++', 'JS']",0,1555423257,1556889121,16,0,0
1031647,1031647,1031647,1403944017,1413399505,2014,            Bug 864931 causes possible use-after-free        ,Makoto Kato,  m_kato,RESOLVED FIXED,Low,DOM: Core & HTML,,0,NotStable,['C++'],0,1403944017,1413399505,109,0,0
798802,798802,798802,1349544581,1350041261,2012,            mixing webgl and 2d context causes crashes        ,miaubiz,  miaubiz,RESOLVED FIXED,Critical,Graphics: Canvas2D,,1,NotStable,"['C++', 'HTML']",0,1349544581,1350041261,5,0,0
1140773,1139792,1145990,1426952646,1426952732,2015,"            ""error for object 0x5a5a5a5a5a5a5a5a: pointer being freed was not allocated"" with js1_5/Array/regress-474529.js        ",Tooru Fujisawa,  arai,RESOLVED DUPLICATE,High,JavaScript: GC,,0,NotStable,['C++'],0,1425547728,1427058331,17,16,0
787831,787831,787831,1346617893,1351902655,2012,            Heap-use-after-free in mozilla::TrackUnionStream::EndTrack        ,Abhishek Arya,  inferno,RESOLVED FIXED,Moderate,Audio/Video,Resource management error,1,Stable,,0,1346617893,1351902655,61,0,0
1616661,1616661,1616661,1582144151,1582619622,2020,            AirPods labels with personally identifiable information should not be exposed to the web        ,Jan-Ivar Bruaroey,  jib,VERIFIED FIXED,Moderate,WebRTC: Audio/Video,,0,Stable,"['C++', 'JS']",0,1582144151,1582619622,5,0,0
1619338,1619338,1619338,1583166933,1588112746,2020,            Loads triggered by content scripts can be used to bypass X-Frame-Options        ,Rob Wu,  robwu,VERIFIED FIXED,Low,DOM: Security,,0,NotStable,['C++'],0,1583166933,1588112746,57,0,0
1668589,1668589,1668589,1601567857,1601936461,2020,"            UndefinedBehaviorSanitizer: mozilla/Maybe.h:295:46: runtime error: load of value 95869805, which is not a valid value for type 'typename std::remove_reference<ABIFunctionType &>::type'        ",Christian Holler,  decoder,RESOLVED FIXED,,JavaScript: WebAssembly,,0,NotStable,,0,1601567857,1601936461,4,0,0
1529203,1529203,1529203,1550652403,1551566334,2019,            Crash when importing a data URL in the Live DOM Viewer        ,Anne,  annevk,VERIFIED FIXED,High,JavaScript Engine,,0,Stable,"['C++', 'JS', 'HTML']",0,1550652403,1551566334,10,0,1
1546656,1546656,1546656,1556112369,1557490715,2019,            mXSS via <math>        ,psych0tr1a,  w,REOPENED,Low,DOM: Serializers,,1,NotStable,,0,1556112369,-1,-1,0,1
1593865,1593865,1593865,1572915880,1573164258,2019,            AddressSanitizer: SEGV /builds/worker/workspace/build/src/servo/components/servo_arc/lib.rs:1099:16 in _$LT$servo_arc..RawOffsetArc$LT$T$GT$$u20$as$u20$core..ops..drop..Drop$GT$::drop::hf087ada73012f773        ,Jason Kratzer,  jkratzer,VERIFIED FIXED,Moderate,CSS Parsing and Computation,,0,Stable,['C++'],0,1572915880,1573164258,2,0,0
871887,871887,871887,1368504635,1369158693,2013,            marquee's _setEventListener does not work        ,moz_bug_r_a4,  moz_bug_r_a4,RESOLVED FIXED,,Layout,,0,NotStable,"['XML', 'HTML']",0,1368504635,1369158693,7,0,1
1120261,1120261,1160825,1430603505,1430832451,2015,            Firefox Proxy Prototype Privileged Javascript Injection Exploit‏        ,mehmet,  mehmetnurcan,RESOLVED DUPLICATE,Critical,XPConnect,,1,Stable,,0,1421020271,1423075984,23,110,0
814026,814026,814026,1353515811,1355862407,2012,            ListenerManager Use-After-Free Remote Code Execution Vulnerability (ZDI-CAN-1591)        ,regenrecht,  curtisk,RESOLVED FIXED,Critical,DOM: Workers,Resource management error,1,Stable,['C++'],0,1353515811,1355862407,27,0,0
880724,880724,880724,1370623525,1370652663,2013,            WebAudio heap-buffer-overflow crash [@mozilla::PodAssign<float>]        ,Christoph Diehl,  posidron,RESOLVED FIXED,Critical,Web Audio,,0,NotStable,['HTML'],0,1370623525,1370652663,0,0,0
1111960,1111960,1111960,1418705204,1432575997,2014,            Open any pseudo URL (e.g. chrome://) when manually calling a link in a new tab        ,Armin Ebert,  arminius,VERIFIED FIXED,Moderate,Security,"Permissions, privileges, access controls",1,Stable,['C++'],0,1418705204,1432575997,160,0,0
990293,990293,990293,1396307769,1397190813,2014,"            Assertion failure: ""WrapNative shouldn't create a cross-compartment wrapper"" (XSLT in iframe)        ",Jesse Ruderman,  jruderman,VERIFIED FIXED,High,DOM: Core & HTML,,0,NotStable,['C++'],0,1396307769,1397190813,10,0,0
1498784,1498784,1498784,1539426031,1539854034,2018,            Crash in mozilla::ipc::OptionalIPCStream::AssertSanity        ,Philipp,  philipp,RESOLVED FIXED,High,DOM: Core & HTML,,0,NotStable,,0,1539426031,1539854034,4,0,0
1024250,1024250,1024250,1402534772,1416942629,2014,            Fix several places where we are not calling ExposeToActiveJS        ,Terrence Cole,  terrence,RESOLVED FIXED,Moderate,JavaScript: GC,,0,NotStable,,0,1402534772,1416942629,166,0,1
1347617,1347617,1347617,1489594447,1491596630,2017,            Memory disclosure in ConvolvePixel        ,Ivan Fratric of Google Project Zero,  ifratric,VERIFIED FIXED,High,Graphics,Memory buffer bounds error,1,Stable,['C++'],0,1489594447,1491596630,23,0,0
1096319,1096319,1096319,1415630222,1419901095,2014,            browser.js should validate opener when using it to determine sidebar to load        ,Bobby Holley,  bholley,VERIFIED FIXED,High,Security,,0,NotStable,"['XML', 'JS']",0,1415630222,1419901095,49,0,0
1439396,1439396,1439396,1519060808,1519250836,2018,            A specially-crafted javascript: URL may be pasted into the Addressbar leading to Self-XSS Attack (similar to bug 1402896)        ,Jordi Chancel,  jordi.chancel,RESOLVED FIXED,Low,Address Bar,,1,NotStable,['JS'],0,1519060808,1519250836,2,0,0
1662760,1662760,1662760,1599056729,1602151051,2020,            AddressSanitizer: heap-use-after-free [@ fetch_add] with WRITE of size 8        ,Jason Kratzer,  jkratzer,RESOLVED FIXED,High,Audio/Video: MediaStreamGraph,,0,Stable,['C++'],0,1599056729,1602151051,35,0,0
941887,941887,941887,1385071006,1389214406,2013,            feDisplacementMap should check taintedness of the image with the displacements        ,Robert O'Callahan,  roc,RESOLVED FIXED,High,SVG,"Permissions, privileges, access controls",0,Stable,"['C++', 'HTML']",0,1385071006,1389214406,47,0,0
1618911,1618911,1618911,1582908067,1584092804,2020,            Firefox: Default Content Process DACL Sandbox Escape        ,James Forshaw of Google Project Zero,  forshaw,RESOLVED FIXED,Critical,Security: Process Sandboxing,,1,Stable,,0,1582908067,1584092804,13,0,0
1277475,1277475,1277475,1464854195,1465566527,2016,"            XSS out of iframe sandbox, iframe disabled javascript. marquee        ",Nikita Arykov,  nikita.arykov,VERIFIED FIXED,Moderate,DOM: Security,Cross-site scripting,1,Stable,"['XML', 'C++', 'HTML']",0,1464854195,1465566527,8,0,0
1300145,1300145,1300145,1472835687,1473791610,2016,            Crash in InvalidArrayIndex_CRASH | mozilla::ContentCache::TextRectArray::GetUnionRectAsFarAsPossible        ,Andrew McCreight,  mccr8,RESOLVED FIXED,Low,Widget,,0,Stable,,0,1472835687,1473791610,11,0,0
1400003,1400003,1400003,1505419245,1507589092,2017,            nsTArray copies JS::ObjectPtr with memmove        ,Jon Coppeard,  jonco,RESOLVED FIXED,High,JavaScript: GC,,0,Stable,,0,1505419245,1507589092,25,0,0
814995,814995,814995,1353885655,1358359044,2012,            Crash @xul!nsHTMLFramesetFrame::GetSizeOfChildAt on poison value        ,Nils,  nils,RESOLVED FIXED,Low,Layout: Block and Inline,,1,NotStable,['HTML'],0,1353885655,1358359044,51,0,1
1338876,1338876,1338876,1486894245,1487247784,2017,            Out of bound access in nsHttpDigestAuth::ParseChallenge        ,Chamal De Silva,  chamal.desilva,RESOLVED FIXED,Low,Networking,Memory buffer bounds error,1,Stable,"['C++', 'JS']",0,1486894245,1487247784,4,0,0
1021089,1021089,1021089,1401986899,1403122158,2014,"            Assertion failure: shape_, at vm/ObjectImpl.h:546 or Crash [@ getClass]        ",Christian Holler,  decoder,VERIFIED FIXED,High,JavaScript Engine,,0,NotStable,,0,1401986899,1403122158,13,0,0
907727,907727,907727,1377093373,1377201639,2013,"            Accessor user-defined properties on DOM proxies get the wrong ""this"" object: the expando object        ",Boris Zbarsky,  bzbarsky,RESOLVED FIXED,Moderate,DOM: Core & HTML,"Permissions, privileges, access controls",0,Stable,['Python'],0,1377093373,1377201639,1,0,0
1648493,1648493,1648493,1593097673,1598946755,2020,"            Assertion failure: aSeg.mLen < 0 || (aSeg.mPos + aSeg.mLen <= aSpec.Length() && aSeg.mPos + aSeg.mLen >= aSeg.mPos), at /builds/worker/checkouts/gecko/netwerk/base/nsStandardURL.cpp:233        ",Jason Kratzer,  jkratzer,VERIFIED FIXED,High,Networking,,0,Stable,"['C++', 'JS']",0,1593097673,1598946755,67,0,0
1555838,1555838,1555838,1559253094,1562018735,2019,            Skia: OOB Read in ReflexHash::checkTriangle        ,Zhen Zhou of NSFOCUS Security Team,  dveditz,RESOLVED FIXED,Moderate,Graphics,,1,Stable,['C++'],0,1559253094,1562018735,32,0,0
837037,837037,837037,1359696726,1360461283,2013,            Frequent Windows test_peerConnection_basicAudio.html | application crashed [@ 0x1cf3c0] [@ 0x12f91a] [@ 0x2ff968] [@ 0x12fa1d] [@ sipcc::PeerConnectionImpl::IceGatheringCompleted_m]        ,Phil Ringnalda,  philor,RESOLVED FIXED,Critical,WebRTC: Audio/Video,,0,NotStable,['C++'],0,1359696726,1360461283,8,0,0
987433,987433,987433,1395705438,1396049380,2014,            Use after free with relList attribute of <a> element        ,Nils,  nils,VERIFIED FIXED,Critical,DOM: Core & HTML,,1,NotStable,['C++'],0,1395705438,1396049380,3,0,0
1608256,1608256,1608256,1578603155,1581696175,2020,"            Assertion failure: startOfUninitialized <= nfixed, at js/src/jit/MacroAssembler.cpp:1074        ",Christian Holler,  decoder,RESOLVED FIXED,High,JavaScript Engine,,0,Stable,"['C++', 'JS']",0,1578603155,1581696175,35,0,0
865550,865550,865550,1366861953,1367027875,2013,            WebAudio use-after-free [@mozilla::dom::AudioBufferSourceNode::Stop]        ,Christoph Diehl,  posidron,RESOLVED FIXED,Critical,Web Audio,,0,NotStable,"['C++', 'HTML']",0,1366861953,1367027875,1,0,0
874952,874952,874952,1369242265,1369407887,2013,"            Heap-buffer-overflow in nsTArray_Impl<mozilla::AudioChunk, nsTArrayInfallibleAllocator>::ElementAt        ",Atte Kettunen,  attekett,VERIFIED FIXED,Critical,Web Audio,,1,NotStable,"['C++', 'HTML']",0,1369242265,1369407887,1,0,0
1342823,1230817,1349110,1490072038,1490106662,2017,            Crash in nsTArray_Impl<T>::AppendElement<T> | TakeFrameRequestCallbacksFrom        ,Randell Jesup,  jesup,RESOLVED DUPLICATE,Critical,DOM: Animation,,0,Stable,['C++'],0,1449405400,1490660292,477,470,0
1358159,1358159,1358159,1492700451,1495506016,2017,            Crash in GetLocaleInfoHelper() called from :intl::OSPreferences::ReadDateTimePattern        ,Marcia Knous,  marcia,RESOLVED FIXED,High,Internationalization,,0,NotStable,,0,1492700451,1495506016,32,0,0
1159973,1159973,1159973,1430352186,1432495177,2015,            crash in js::frontend::Parser<js::frontend::SyntaxParseHandler>::unaryExpr(js::frontend::Parser<js::frontend::SyntaxParseHandler>::InvokedPrediction)        ,Mats Palmgren,  MatsPalmgren_bugz,RESOLVED FIXED,Low,JavaScript Engine,,0,Stable,['C++'],0,1430352186,1432495177,24,0,0
1542764,1542764,1542764,1554733108,1568158598,2019,            AddressSanitizer: heap-use-after-free /src/gfx/vr/ipc/VRLayerParent.h:29:38 in GetGroup        ,Jason Kratzer,  jkratzer,RESOLVED FIXED,High,WebVR,,0,NotStable,,0,1554733108,1568158598,155,0,0
1460619,1460619,1460619,1525962686,1546942850,2018,            AddressSanitizer: heap-use-after-free [@ Length] with READ of size 8        ,Jason Kratzer,  jkratzer,RESOLVED FIXED,High,WebVR,,0,Stable,['C++'],0,1525962686,1546942850,242,0,0
1031542,1031542,1031542,1403904332,1404002545,2014,            Crash on https://admissions.tpa.edu.tw with mozilla::pkix enabled due to CheckKeyUsage null pointer dereference        ,Matt Wobensmith,  mwobensmith,VERIFIED FIXED,Moderate,Security: PSM,,0,NotStable,['C++'],0,1403904332,1404002545,1,0,0
1386110,1386110,1386110,1501553743,1501868610,2017,            stylo: AddressSanitizer: heap-use-after-free in [@ GetExistingSlots] with READ of size 8        ,Jesse Schwartzentruber,  truber,RESOLVED FIXED,Critical,CSS Parsing and Computation,,0,NotStable,['C++'],0,1501553743,1501868610,3,0,0
